 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [23/Nov/2020 18:44:38] "GET /tagging/folio/foliosAnotados/TM-F0001 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:44:38] "GET /users/foto/tfraga?seed=1606157078715 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /users/foto/tfraga?seed=1606157112059 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:12] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:14] "GET /users/foto/tfraga?seed=1606157114136 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:14] "GET /tagging/folio/foliosAtualizados/TM-F0001 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:21] "GET /users/foto/tfraga?seed=1606157121563 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:21] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:22] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:22] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:34] "GET /users/foto/tfraga?seed=1606157133914 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:45:34] "GET /folios/tags?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:46:05] "GET /users/foto/tfraga?seed=1606157164826 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:46:05] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:46:05] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:47:16] "GET /users/foto/tfraga?seed=1606157236364 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:47:16] "GET /folios/tags?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:47:53] "GET /users/foto/tfraga?seed=1606157272826 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:47:53] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:47:53] "GET /tagging/tagsAtivas HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:48:18] "GET /tagging/infoTag/casa HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:48:39] "GET /tagging/infoTag/cargo HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:48:53] "GET /tagging/infoTag/localidade HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:49:29] "GET /users/foto/tfraga?seed=1606157368781 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:49:29] "GET /tagging/regras HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:51:48] "GET /users/foto/tfraga?seed=1606157508042 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:51:58] "GET /users/foto/tfraga?seed=1606157518350 HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:51:58] "GET /folios/folios?nome=tfraga HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:51:58] "GET /tagging/folio/foliosAnotados HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2020 18:51:59] "GET /tagging/folio/foliosAtualizados HTTP/1.1" 200 -
127.0.0.1 - - [02/Dec/2020 15:04:05] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [02/Dec/2020 15:08:06] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [09/Dec/2020 00:16:23] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [13/Dec/2020 01:50:44] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [02/Jan/2021 16:59:26] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [21/Jan/2021 14:39:38] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2021 16:18:00] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:04:58] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:31] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:31] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:31] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:31] "GET /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:31] "GET /users/foto/obelo?seed=1613557412212 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:32] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:32] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:44] "GET /documentacao/docs?nome=admin HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:23:45] "GET /users/foto/obelo?seed=1613557425589 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:24:29] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 10:24:29] "GET /users/foto/obelo?seed=1613557469851 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:37] "GET /users/foto/obelo?seed=1613562277985 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:41] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:41] "GET /users/foto/obelo?seed=1613562281886 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:47] "GET /users/foto/obelo?seed=1613562288402 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:47] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:53] "GET /analise/pesquisa?pesquisa=braga&selectedFolio=Todos&tipo=texto&versao=todas&resultado=periodo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:53] "GET /users/foto/obelo?seed=1613562293589 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:55] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:44:55] "GET /users/foto/obelo?seed=1613562295730 HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:45:00] "GET /analise/pesquisa?pesquisa=a&selectedFolio=Todos&tipo=texto&versao=todas&resultado=periodo HTTP/1.1" 200 -
127.0.0.1 - - [17/Feb/2021 11:45:00] "GET /users/foto/obelo?seed=1613562300681 HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:36] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:47] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:47] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:47] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:47] "GET /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:47] "GET /users/foto/obelo?seed=1613688586899 HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:48] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:49:48] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:51:58] "GET /users/users?nome=admin HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:51:58] "GET /users/foto/obelo?seed=1613688718179 HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:54:11] "GET /analise/foliosnames HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2021 22:54:21] "GET /analise/pesquisa?pesquisa=a&selectedFolio=Todos&tipo=texto&versao=todas&resultado=periodo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:44] "POST /login HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:44] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:44] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:44] "GET /users/foto/obelo?seed=1613736883881 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:45] "GET /users/foto/obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:48] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:48] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:14:53] "GET /users/foto/obelo?seed=1613736892634 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:15:13] "GET /users/foto/obelo?seed=1613736912582 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:15:13] "GET /folios/folios?nome=admin HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:15:13] "GET /getPlaces HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:15:43] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:15:43] "GET /users/foto/obelo?seed=1613736942034 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:16:03] "GET /users/foto/obelo?seed=1613736962779 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:37] "GET /users/users?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:37] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:37] "GET /users/foto/obelo?seed=1613737236430 HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:37] "GET /folios/tags?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:38] "GET /folios/index?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:42] "GET /folios/folios?nome=obelo HTTP/1.1" 200 -
127.0.0.1 - - [19/Feb/2021 12:20:42] "GET /users/foto/obelo?seed=1613737241843 HTTP/1.1" 200 -
